Einheit,artikel,Wort in Deutsch,Wort in Englisch
3,,vergleichen,to compare
3,,raten,to advice
3,,wechseln,to change
3,e,Grafik,Graph/ghaphic
3,s,Paar,pair
3,e,Mehrsprachigkeit,Multilinguism
3,e,Konversation,conversation
3,s,Gesprach,conversation
3,e,Region,region
3,r,Kontakt,contact
3,r,Ort,Place
3,e,Grenze,Boundary
3,r,Tourismus,tourism
3,r,Verkehr,Traffic 
3,r,Stau,Traffic jam
3,r,Nachbar,Neighbour
3,,suchen,to search
3,,nennen/benennen,to name
3,s,Beispiel,example
4,s,Hochhaus,Sky scraper/ multi storey building
4,s,Baurnhaus,Farmhause
4,s,Zimmer,room
4,r,Raum,room
4,s,Studentenwohnheim,Student hostel
4,e,Wohngemeinschaft,PG/Dorm
4,s,Einfamilienhaus,single family house
4,e,Wohnung,Apartment
4,,besonders,special
4,e,Graduierung,grading
4,,beschreiben,to describe
4,,betonnen,to highlight/stress/emphasize
4,,hell,bright
4,,dunkel,dark
4,,groß,big
4,,klein,small
4,,lang,long
4,,kurz,short
4,,schön,pretty/beautiful
4,,hässlich,ugly
4,,alt,old
4,,neu,new
4,,teuer,expensive
4,,billig,cheap
4,r,Garten,garden
4,,"""auf dem land""",countryside
4,,ruhig,calm/peaceful
4,,lärm,loud/noise
4,,laut,loud/noise
4,r,Stock,Floor/storey
4,e,Etage,Floor/storey
4,,zeimlich,quite/pretty
4,s,Wohnzimmer,living room
4,s,Essezimmer,dining room
4,s,Schlafzimmer,bed room
4,s,Badezimmer,bathroom/washroom
4,s,Bad ,bathroom/washroom
4,s,Kinderzimmer,childrens room
4,e,Küche,Kichen
4,r,Balkon,balcony
4,e,Toilette,toilet
4,,links,left
4,,rechts,right
4,s,Regal,shelf
4,e,Regel,rule
4,s,Bucherregal,book shelf
4,r,Platz,place
4,r,Traum,dream
4,,weit,far 
4,,nah,near
4,,weiter,farther
4,e,Nähe,Neighbourhood
4,r,Shrank,Cupboard
4,r,Esstisch,dining table
4,s,Sofa,sofa
4,r,Sessel,armchair
4,,probieren,to try
4,r,Zettel,slip/piece of paper
4,s,Wörternetz,word network
4,e,Kartei,folder/file
4,s,Glück,happiness/luck
4,r,Umzug,move/shift
4,,qm-quadratmeter,sq m
4,r,Schmerz,pain
4,s,Treppenhaus,staircase
4,s,Möbel,furniture
4,r,Flur,hall/corridor
4,s,Bett,bed  
4,e,Wand,wall
5,r,Termin,apointment
5,e,Uhr,watch/clock
5,e,Uhrzeit,time/time of the day
5,,verbreden sich,to arrange to meet someone
5,,verkehr,traffic
5,,stau,traffic jam
5,,spät ,late
5,,früh,early
5,,offiziell,official
5,e,Umgangssprache,local language
5,,vergleichen,to compare
5,e,Zeitangabe,time statement
5,e,Verspätung,delay
5,,entschuldigen sich,to exceuse oneself/ to be sorry
5,,an|rufen,to call on phone
5,,auf|stehen,to wake up
5,r,Kurs,course
5,,frühstücken,to breakfast
5,,aus|gehen,to go out 
5,,schlafen|gehen,to go to sleep
5,e,Mittagspause,mid day break
5,,abends,evenings
5,,morgens,mornings
5,,vor|bereiten sich,to prepare
5,r,Anrufbeantworter,telephonic answering machine
5,e,Sprechzeiten,consulting hours
5,e,Sprechstunde,consulting hours
5,e,Allegemeinmedizin,general medicine
5,,nennen/benennen,to name
5,s,Amt,Office (non govt)
5,s,Ausländeramt,immigration office
5,,brauchen,to need
5,e,Aufenthaltsgenehmigung,residency permit
5,s,Visum,visa
5,,berichten,to report
5,,melden,to register
5,,kompliziert,complicated
5,e,Miete,rent
5,r,Vertrag,agreement/contract
5,r,Mietevertrag,rent agreement
5,,speziell,special
5,e,Regel,rule
5,r,Ausländer,foreigner
5,,telefonieren,to tolephone
5,e,Autobahn,highway/flyover
5,,gegen,around
5,s,Kino,Cinema
5,s,Museum,museum
5,r,Zirkus,Circus
5,r,Park,park
5,s,Theater,theater
5,e,Oper,opera
5,r,Zoo,zoo
5,s,Konzert,concert
5,s,Café,café
5,e,Disko,disco
5,r,Rollenspiele,roleplay
5,r,Kinobesuch,cinema hall visit
5,r,Zahnarzt,dentist
5,r,Frisör,barber
5,,bitten,to request
5,,ab|lehnen,to reject
5,,vor|schlagen,to suggest
5,,zu|stimmen,to agree
5,e,Entschuldigung,excuse/sorry
5,e,Ausrede,excuse( negativ sense)
5,r,Wecker,alarm
5,r,Zug,train
5,,kaputt,broken/damaged
5,,vergessen,to forget
5,e,Panne,breakdown/flat tyre/puncture
5,,an|rufen,to call on phone
5,,ein|kaufen,to purchase
5,,an|fangen,to begin/start
5,,aus|gehen,to go for outing
5,s,Ende,end
5,s,Wochenende,weekend
5,e,Stunde,hour
5,r,Zeitplan,time plan/routine
5,e,Pünklichkeit,punctuality
5,,pünklich,punctual
5,,beantworten,to reply
5,,wirklich,really
5,,glauben,to believe
5,r,Fahrplan,travel plan
5,,klar,clear
5,,meistens,mostly
5,,mindestens,at least
5,,manchmal,sometimes
5,,warten,to wait
5,,genau,exactly
5,,genauso,equally/as similarly
5,,immer,always
5,e,Suppe,soup
5,r,Mittag,mid day 
5,e,Krankenkasse,health plan
5,,da,there/since/as/because
5,r,Treffpunkt,meeting point
5,,nach|sprechen,to repeat
5,,an|sehen,to view/look at
5,,zu|ordnen,to match
5,,joggen,to jog
5,,Krankenkasse,sick/ill
5,,gesund,healthy
6,e,Orientierung,orientation/direction
6,r,Verlagkaufsmann,editor
6,e,Volkzietung,peoples daily newspaper
6,r,Verlag ,Publisher
6,s,Verlagshaus,Publishing house
6,s,Rad,Bicycle
6,s,Fahrrad,Bicycle
6,s,Viertelstunde,quarter of an hour
6,e,Bank,Bank
6,e,Straßenbahn,tram
6,e,U-Bahn,metro
6,r,Bahnhof,station
6,s,Feld,field
6,,sammeln,to collect
6,r,Hauptbahnhof,main railway station
6,,vergleichen,to compare
6,r,Weg,way
6,e,Person,Person
6,s,Verkehrsmittel,Public transport/means of transport
6,r,Verkehr,Traffic
6,e,Ordnungzahl,Ordinal number
6,r,Bus,Bus
6,r,Zug,Train
6,e,Buchhandlung,book shop
6,e,Buchhaltung,book keeping (accounting)
6,r,Fuß,Foot
6,,zu Fuß,on/by foot
6,e,Etage,Floor/storey
6,r,Stock,Floor/storey
6,s,Erdgeschoss,Ground floor
6,,unten,below/downstairs
6,,oben,above/upstairs
6,r,Empfang,Reception
6,e,Kantine,Cantine
6,e,Redaktion,Editorial department
6,r,Redakteuer,Editor
6,e,Konferenz,conference
6,r,Chef,boss
6,s,Sektretariat,secretary's office
6,r,Parkplatz,parking place
6,e,Abteilung,Department
6,e,Personalabteilung,HR Department
6,,gleich,exactlu same/alike
6,r,Vertrieb,sales/marketing
6,r,Vertiebleiter,sales and marketing manager
6,e,Wand,wall
6,e,Sache,Thing
6,e,Tabelle,table(as in a report)
6,r,Monitor,monitor
6,e,CD ROM,CD ROM
6,r,Drucker,Printer
6,e,Tastatur,keyboard
6,e,Maus,mouse
6,r,Schlüssel,keyboard
6,e,Brille,Eye glasses
6,,kalt,cold
6,,heiß,hot
6,r,Termin,appointment
6,r,Termin Kalender,appointment calender
6,e,Gruppe,group
6,s,Telefonat,telephone call
6,,geboren + sein,to be born
6,r,Geburstag,Birthday
6,e,Tradition,tradition
6,e,Messe,Fair
6,,messen,to measure
6,,statt|finden,to take place/to happen
6,r,Kantor,choir masters
6,e,Kirche,Church
6,r,Chor,choir  
6,e,Oper,opera
6,,dirigieren,to conduct/ to direct
6,r,Handel,Trade/commerce
6,,berühmt,famous
6,,ganz,whole/complete/entire
6,e,Welt,world
6,r,Besucher,Visiter
6,s,Stadtzentraum,City center
6,,ein|laden,to invite
6,s,Geschaft,Shop
6,,zählen,to count
6,e,Sinfonie,symphony
6,s,Museum,museum
6,e/(pl),Museen,Museums
6,,bummeln,to stroll/roam around
6,s,Krankenhaus,hospital
6,,sicher,sure/surely/certainly
6,,verschieben,to postpone/delay
6,r,Feiertag,celebration day
6,e,Einheit,unit/unity/entity
6,s,Bild,Picture
6,,glauben,to believe
6,s,Weinachten,Christmas
7,r,Beruf,Proffession/job
7,,Beruflich,professionally
7,r,Bankangestellte,Bank clerk
7,r,Automechanicker,car mechanic
7,r,Programmierer,programmer
7,e,Secretärin,Female secretary
7,r,Kellner,Waiter
7,r,Keller,Basement
7,r,Taxifahrer,taxi driver
7,r,Bäcker,Baker
7,r,Krankenpfleger,Male Nurse
7,e,Krankenschwester,Nurse
7,r,Tagasablauf,Daily routine
7,e,Tätigkeit,ability/capability
7,e,Statistik,ststistics
7,,aus|werten,to estimate/to evaluate/to analyze
7,,achten,to pay attention
7,s,Geld,money
7,e,Bezeichnung, denotation/label
7,r,Ort,Place
7,s,Haar,single strand of hair
7,e(pl),Haare,hairs
7,,schneiden,to cut
7,,unterrichten,to teach
7,,untersuchen,to examine
7,e,Mittagspause,mid day break/lunch break
7,r,Animateur,host/ holiday representative
7,e,Chance,chance
7,s,Programmierer,program
7,,warten,to wait
7,s,Flugzeug,Airplane
7,r,Traumberuf,dream job
7,e,Idee,Idea
7,e,Fabrik,fabric
7,s,Tier,Animal
7,e,Hand  ,Hand
7,,zusammen|arbeiten,rto work together
7,,verdinen,To earn
7,e,Arbeitslosigkeit,Unemployment
7,e,Million,Million
7,e,Suche,The search
7,e,Arbeitsagentur,work agent
7,r,Verkäufer,Work Agencies
7,,ab|holen,To pickup/fetch
7,r,Sohn,Son
7,,fern|sehen,To watch TV
7,r,Breif,Letter
7,e,Werkstatt,workshop
7,r,Schuh,Shoe
7,r,Salon,Saloon
7,,tauschen,To exchange
7,r,Titel,Title
7,e,Möglichkeit,opportunity/possibility
7,r,Kunde,male customer
7,s,Mitgleid,member
7,s,Gerät,equipment/machine/gadget/device
7,,dort,there/since/as/because
7,,wichtig,important
7,,allein,alone
7,,leicht,light
7,e,Tochter,Daughter
7,,informieren,to inform
7,,freundlich,friendly
7,,flexibel,flexible
7,r,Haushalt,household
7,s,Studio,Studio
7,,interessant,interesting
7,,kontrolieren,control/to check
7,r,Kurs,Course
7,r,Plan,plan
7,e,Party,party
7,e,Arbeit,Work
7,r,Koffer,Suitcase
7,e,Brille,Spectacles
7,r,Verlagskaufmann,Editor
7,,Arbeitslos,Unemployed
8,e,Linie,line/route
8,e,Sehenwürdigkeiten,scenaries/sight seeing
8,s,Bundeskanzleramt,german chancellors office
8,r,Reichstag,Parliament
8,e,Haltestelle,halt/station
8,r,Turm,Tower/dungeon
8,e,Exkursion,Excursion
8,r,Spaziergang,walk/stroll
8,e,Regierung,government
8,e,Regierungviertel,government quarters
8,,besichtigen,to visit
8,r,Flahmarkt,Flea market
8,,bumeln,walk/stroll
8,r,Hit,Hit
8,,liegen,to lie
8,e,Stadtrundfahrt,city trip
8,,oft,often
8,,voll,full
8,,leer,empty
8,,oben,upstairs
8,,unten,downstairs
8,e,Reihe,Rope
8,,erzählen,to narrate
8,e,Reise,Trip
8,,an vorbei,going past something
8,,beschreiben,to describe
8,s,Amt,Office (govt)
8,,zeichnen,to pull/draw
8,s,Stadtor,City gate
8,s,Tor,Gate
8,,einfach,easy/simple
8,,geradeaus,straight
8,e,Straße,street
8,e,Ampel,Signal
8,e,Galerie,Gallery
8,e,Fußgängerzane,Footpath
8,s,Gelände,promises/grounds
8,s,Messegelände,Fair grounds
8,s,Schloss,castle/lock
8,e,Brücke,Bridge
8,s,Stadion,Stadium
8,r,Zoo,Zoo
8,r,Bahnhoff,Station
8,e,Kamera,Camera
8,,üben,to practice
8,s,Ziel,target/goal
8,,ein|tragen,to register/sign
8,,billig,cheap
8,e,Ahnung,Idea
8,e,Kreuzung,Crossing
8,,danach,afterwards
8,,zeuerst,firstly
8,,dann,then
8,,entlang,along
8,,laufen,to walk/run
8,e,Rallye,Rally
8,,toll,great
8,e,Atmosphäre,Atmosphere
8,e,Stadium,Studies
8,,interessieren sich,to be interested
8,,meiten,to rent
8,,unterwegs,underway
8,,vergleichen,to compare
8,e,Stadtführung,guided city tour
8,e,Kück fahrt,return journey
8,,gefallen,to please
8,,an,Atmosphere
8,,zu,to
8,,bis,till
8,,bis zu,till to
8,,über,across
8,s,Ende,End
8,e,Ruhe,Peace/calm
8,,tanzen,to dance
8,,vermeiten,to rent out
9,e,Feier ,celebration
9,e(pl),Ferien,Holidays
9,r,Urlaub,Vacation
9,,regelmäßig,regular/regularly
9,,unregelmäßig,irregular/irregularly
9,s,Ziel,target/goal/destination
9,e,See,Sea
9,r,See,Lake
9,s,Meer,Ocean
9,e(pl),Seen,lakes/seas
9,e,Sonne,Sun
9,r,Srand,Beach
9,r,Urlauber,Vacationer
9,e,Insel,Island
9,,besonders,special
9,s,Schloss,Castle/Lock
9,r,Schlüssel,Key 
9,,beliebt,popular/loved
9,s,Flugzeug,Airplane
9,,lang,Long
9,,schmal,narrow
9,r,Wanderweg,Hiking path
9,r,Radweg,Bicycle path
9,s,Allgäu,alpine
9,,erholen sich,to relax
9,r,Berg,Mountain
9,e,Besischtigung,Visiter
9,e,Schlange,snake/queue
9,e,Warteschlange,Waiting queue
9,,toll,great
9,,langweilig,boring
9,e,Spaß,Fun
9,,baden,to take a bath
9,,zelten,to camp/ to tent
9,,planen,to plan
9,r,Stephandsom,Saint Stefen Cathedral
9,,bauen,to build
9,,erklären,to explain
9,,spielen,to play
9,,beantworten,to reply
9,,zu|hören,to listen carefully
9,e,Zeichnung,Drawing
9,e,Reihenfolge,Sequence
9,,plötlich,suddenly
9,,verlieren,to lose
9,r,Schreck,horror/schock/scare
9,,bleiben,to stay
9,,an|sehen,to view/look at
9,r,Monat,month
9,s,Weihnachten,X'mas
9,r,Herbst,Autumn
9,r,Frühling,spring
9,r,Sommer,Summer
9,s,Ostern,Easter
9,,beachten,to consider/to regard
9,r,Liebling,Favorite
9,r,Fliege,plane/aircraft
9,,rein,in/inside
9,,erlebel,to experience
9,,erfahren,to experience
9,e,Zärtlichkeit,Tenderness/humbleness
9,,bereit,Ready/willing
9,e,Küche,Kitchen/Cusine
9,s,Reisenrad,touring bicycle
9,,schlecht,bad
9,,regnen,to rain
9,r,Regen,Rain
9,,prima,great
9,s,Urlaubstagebuch,vacation diary
9,e,Etappe,Stage
9,e,Ankunft,Arrival
9,e,Radtour,Bicycle tour
9,,schaffen,to manage/accomplish
9,s,Picknick,Picnic
9,e,Pension,Guest house
9,,übernachten,to stay overnight
9,,müde,tired
9,e,Torte,Pastry/pie
9,r,Kuchen,Cake
9,,Probieren,to try
9,,dort,there/since/as/because
9,e,Weiterfahrt,continuation of journey
9,,besuchen,to visit
9,,besischtigen,to visit
9,s,Kloster,Monastry
9,,erreichen,to reach
9,,an|schauen,to look at/to show
9,e,Pause,break 
9,,gastfreundlich,guest friendly
9,r,Blick,view/sight
9,,stolz,proud
9,s,Protokoll,Protocol
9,r,Reiseführer,travel guide
9,s,Wetter,Weather
9,r,Unfall,Accident
9,,breit,broad/wide
9,,selten,seldom/rare
10,s,Lebensmittel,Grocery
10,r,Markt,Market
10,r,Supermarkt,Supermarket
10,s,Obst,Fruit
10,s,Gemüse,Vegetable
10,e,Küche,Kitchen/Cusine
10,r,Preis,Price or Prize
10,s,Rezept,Reciept/Recipie/Prescription
10,e,Komparation,Comparision
10,e,Endung,Ending
10,r,Käse,Cheese
10,e,Kasse,Counter
10,r,Apfel,Apple
10,e,Banane,Banana
10,e,Erdbeere,Strawberry
10,e,Kirsche,Cherry
10,e,Tomate,Tomato
10,s,Fleisch,Flesh/meat
10,s,Brot,Bread
10,s,Brötchen,Bread Slice
10,e,Schokolade,Chocolate
10,s,Ei,Egg
10,s,Eis,Ice
10,e,Milch,Milk
10,e,Butter,Butter
10,r/s,Reis,Rice
10,r,Solat,Salad
10,e,Kartoffel,Potato
10,r/s,Ketchup,Ketchup
10,e,Zweibel,Onion
10,s,Hähnchen,Chicken
10,r,Spaghetti,Spagetti
10,r,Chip,Chip
10,e(pl),Chips,Chips
10,e,Wurst,Sausage
10,e,Leberwurst,Liver sausage
10,e,Curry wurst,sausage curry
10,,alles,everything
10,,nichts,nothing
10,s,Kraut,Cabbage
10,s,Sauerkraut,fermented cabbage
10,e,Sußigkeit,Sweet
10,r,Zettel,piece of paper
10,r,Liter,Liter
10,e,Flasche,Bottle
10,e,Aussprache,Pronounciation
10,e,Mengeangeben,amount statement
10,r,Spinat,Spinach
10,,iggit,Yuck
10,e,Jugendliche,Youth
10,s,Lieblingsessen,Favorite food
10,e,Pommes,French fries
10,e,Pizza,Pizza
10,r,Doner,Kebab
10,s,Fastfood,Fastfood
10,r,Schüler,school going student
10,s,Alter,Age/age group
10,,befragen,to survey
10,s,Ergebnis,Result
10,,folgen,to follow
10,,sogor,even/infact
10,r,Hamburger,Hamburger
10,s,Student,College going student
10,,schmecken,to taste
10,,eben,even 
10,e,Zusammenfassung,Summary
10,,zusammenfassen,to summarize
10,e,Soße,Sauce
10,,frisch,Fresh
10,e,Luft,Air 
10,s,Glas,Glass
10,r,Kuchen,Cake
10,e,Nudeln,Noodles
10,r,Paprika,Chilly/capsicum
10,r,Shinken,Pork/ham
10,r,Wein,Wine
10,s,Bier,Beer
10,s,Salz,Salt
10,r,Zucker,Sugar
10,,drin,in it
10,e,Dose,can or tin box
10,,lecker,delicious
10,,vegetarisch,vegetarian
10,e,Radine,Raisin
10,e,Ananas,Pineapple
10,r,Streifen,Stripe/streak
10,r,Würfel,Cube
10,,schneiden,to cut
10,e,Pfanne,Pan
10,,braten,to roast/to fry
10,,an|braten,to brown/to roast
10,,bestreuen,to sprinkle
10,e,Sahne,Cream
10,,verrühen,to stir
10,r,Backolen,baking oven
10,r,Auflauf,hot dish made of bread
10,r,Pfeffer,Pepper
10,e,Hauptmahlzeit,main meal time
10,e,Marmalade,Jam
10,e,Speisekarte,Menu card
10,e,Rechnung,Bill/check
10,e(pl),Zutaten,Ingredients
10,,backen,to bake
10,e,Bratwurst,fried sausage
10,e,Bratkartoffel,fried potato
11,s,Kleid,Dress/gown
11,e(pl),Kleider,Dresses/gowns
11,s,Wetter,Weather
11,e,Farbe,Color
11,,an|geben,to tell something/to state
11,e,Mode,Fashion
11,,aus|sehen,to look/to appeal
11,,freuen sich + über,to be happy/pleased about
11,,freuen sich + auf,to look aforward to
11,,anziehen,to get dressed
11,,modisch,fashionable/trendy
11,,kombinierbar,Combinable
11,,preiswert,Price worthy
11,e,Hose,Pant
11,,tragen,to wear/to carry
11,,an|haben,to wear
11,e,Jacke,Jacket(casual wear)
11,s,Jackett,Jacket (office wear)
11,r,Rock,Frock/Skirt
11,r,Pullover,Pullover
11,e,Jeans,Jeans
11,s,T-Shirt,T shirt
11,r,Stiefel,Boot
11,e,Bluse,Blouse
11,r,Anzug,Suit
11,s,Hemd,Shirt
11,r,Mantel,Overcoat
11,e,Krawatte,Tie
11,r,Schuh,Shoe (1 piece)
11,r,Spiel ,Game
11,s,Stück,Piece  
11,,gefallen,to please
11,,überhaupt,generally/absolutely
11,r,Weltmeister,World champion
11,e,Mannschaft,Team
11,r,Ernkaufsbummel,Shopping spree
11,r,Verkäufer,Sales man
11,r,Kunde,Customer
11,e,Größe,Size
11,,glauben,to believe
11, ,an|probieren,to try something on
11,e,Abteilung,Department
11,e,Herrenabteilung,Mens' department
11,,bestimmt,Definitely
11,e,Ärmel,Sleeves
11,,"""das ist egal""",not ever
11,,Die ist reduziert,It is discounted
11,,Das ist reduziert,It is discounted
11,,Der ist reduziert,It is discounted
11,,eigentlich,actually
11,,sicher,surely/safe
11,,bequem,comfortable
11,,suchen,to search
11,,denken,to thank
11,r,Katalog,Catalogue
11,,schlecht,bad
11,s,Thema,Theme
11,,gleich,exact
11,s,Gesprach,Conversation
11,e,Freizeit,Free time
11,e,Aktivität,Activity
11,,ab|hängen,to depend
11,r,Schnee,Snow
11,,Schneien,to snow
11,,Scheinen,to shine
11,,heiter/sonnig,sunny
11,,bewölkt,cloudy
11,e,Wolke,Cloud 
11,,hoffentlich,hopefully
11,e,Sonne,Sun 
11,r,Regen,Rain
11,,regnen,to rain
11,,wichtig,important
11,,windig,windy
11,r,Wind ,Wind 
11, ,feiern,ro celebrate
11,e,Hitze,Heat
11,r,Schal,Shall
11,e,Mütze,Cap
11,r,Rollkrogenpullover,turtleneck
11,e,Kalte,Cold
11,e,Sonnenbrille,Sunglass
11,,nehmen,to take
12,r,Körper,Body
12,,gesund,Healthy
12,,krank,sick
12,e,Gesundheit,Health
12,r,Urlauber,Vacationer
12,,zu|ordnen,To match
12,s,Skifahren,Skiing
12,e,Alpen,Alps
12,,Ca (Circa),Approximately
12,r,Unfall,Acident
12,,tranieren,To train
12,r,Gips,Cast 
12,s,Gipsbein,plaster in leg
12,,vorbei,past 
12,r,Muskel,Muscle
12,r,Arm,Arm
12,adj,arm,poor
12,s,Bein,Leg
12,r,Bauch,Stomach
12,r,Rücken,Spine
12,r,Fuß ,Foot
12,s,Knie,Knee
12,,taglich,daily
12,r,Finger,Finger
12,e,Hand,Hand
12,s,Haar,Hair
12,e(pl),Haare,Hair (pl)
12,r,Kopf,Head
12,s,Auge,Eye
12,s,Ohr,Ear
12,e,Nase,Nose
12,r,Mund,Mouth
12,r,Hals,Throat
12,e,Entspannung,relaxation/enjoyment
12,,klettern,to climb
12,r,Sternwandkletterer,Cliff climber
12,r,Felsen,Rock
12,,hoch,high
12,,niedrig,low
12,e,Konzentration,Concentration
12,r,Senior,Senior
12,r,Kurs,Course
12,,speziell,Special
12,,nennen,to name
12,,benennen,to name
12,r,Körpertiel,Body part
12,,weh|tun,to hurt/ to pain
12,e,Empfehlung,reccomendation
12,e,Anweisung,instruction
12,,oben,above
12,,unten,under 
12,e,Tätigkeit,Capability
12,s,Fieber,Fever
12,r,Schmerz,Pain
12,e,Anmeldung,registration/reception
12,e,Arztpraxis,Doctors clinic
12,e,Krankenversicherung,health insurance
12,e,Versicherung,Insurance
12,e,Karte,Card
12,,warten,to wait
12,e,Betonung,stress/emphasis
12,r,Arbeitsnehmer,employee
12,e,Krankheit,illness
12,,versichern,to insure
12,r,versicherte ,insured person
12,,speichern,to save
12,s,Medikament,medication
12,e,Apotheke,Pharmacy
12,r,Husten,cough
12,r,Husten saft,cough syrup
12,s,Rezept,Reciept/Recipie/Prescription
12,,wieder,again
12,,Gute Besserung,Get well soon
12,,aus|wahlen,to choose
12,,Fühlen sich,to free
12,,aus|ruhen sich,to relax/to rest
12,,schnupfen,to sniff/cold
12,,verschreiben,to prescribe
12,,ein|reiben,to rub/rubbing
12,r,Magen,stomach/gastric/belly
12,,zu|nehmen,to increase
12,,ab|nehmen,to decrease/to reduce
12,,übersetzen,to translate
12,e,Erkältung,cold
12,e,Bewegung,motion/movement
12,,duschen sich,to shower oneself
12,r,Fröh/fröhlich,happy/cheerful
12,r,Ratschlag,advice/tip
12,,Kneipen,to drink
12,e,Kneipen,pub/bar
12,,Klopfen,to tap/to beat
12,e,Ruhe,quiet/calm/serenity
12,,ruhig,calm/peace 
12,,dichten,to write poem
12,s,Gedicht,poem/poetry
12,s,Tablette,tablet
12,,drüben,over there/beyond
